round_number,overdrive_level,position,swap_flag,skill_swap_sequence,skill_target_position,execute
1,,2,TRUE,4,,FALSE
1,,3,TRUE,5,,FALSE
1,,1,FALSE,5,,FALSE
1,,2,FALSE,2,,TRUE
2,,1,TRUE,4,,FALSE
2,,3,TRUE,5,,FALSE
2,,1,FALSE,2,,FALSE
2,,2,FALSE,2,,FALSE
2,,3,FALSE,1,,TRUE
2-E,,1,FALSE,4,,FALSE
2-E,,2,FALSE,1,,FALSE
2-E,,3,FALSE,3,,TRUE
3,,1,TRUE,4,,FALSE
3,,3,TRUE,6,,FALSE
3,,1,FALSE,3,,FALSE
3,,2,FALSE,3,,FALSE
3,,3,FALSE,2,2,TRUE
4,,1,TRUE,6,,FALSE
4,,2,TRUE,4,,FALSE
4,,1,FALSE,1,,FALSE
4,,2,FALSE,2,,FALSE
4,,3,FALSE,1,,TRUE
4-E,,1,FALSE,1,,FALSE
4-E,,2,FALSE,1.1,,FALSE
4-E,3,3,FALSE,4,,TRUE
4-B1,,1,TRUE,6,,FALSE
4-B1,,1,FALSE,4,,FALSE
4-B1,,2,FALSE,1,,FALSE
4-B1,,3,FALSE,2,4,TRUE
4-B1-E,,1,FALSE,4,,FALSE
4-B1-E,,2,FALSE,1,,FALSE
4-B1-E,,3,FALSE,2,4,TRUE
4-B2,,3,TRUE,5,,FALSE
4-B2,,1,FALSE,3,,FALSE
4-B2,,2,FALSE,2,,FALSE
4-B2,,3,FALSE,3,4,TRUE
4-B2-E,,2,FALSE,1,,FALSE
4-B2-E,,3,FALSE,3,4,TRUE
4-B3,,1,TRUE,5,,FALSE
4-B3,,2,TRUE,4,,FALSE
4-B3,,2,FALSE,3,,TRUE
