round_number,overdrive_level,position,swap_flag,skill_swap_sequence,skill_target_position,execute
1,,1,TRUE,4,,FALSE
1,,2,TRUE,5,,FALSE
1,,3,TRUE,6,,FALSE
1,,1,FALSE,2,,FALSE
1,,3,FALSE,2,2,TRUE
1E,,3,FALSE,3,,TRUE
2-1-B1,-2,2,TRUE,5,,FALSE
2-1-B1,,1,FALSE,3,,FALSE
2-1-B1,,2,FALSE,3,,FALSE
2-1-B1,,3,FALSE,2,1,TRUE
2-1-B1-E,,3,FALSE,3,,TRUE
2-1-B2,Alt,3,TRUE,5,,FALSE
2-1-B2,,1,FALSE,3,,FALSE
2-1-B2,,2,FALSE,4,,FALSE
2-1-B2,,3,FALSE,2,,TRUE
2-2-B1,-2,3,TRUE,5,,FALSE
2-2-B1,,1,FALSE,3,,FALSE
2-2-B1,,2,FALSE,4,,FALSE
2-2-B1,,3,FALSE,2,1,TRUE
2-2-B1-E,,3,FALSE,3,,TRUE
2-2-B2,,3,TRUE,5,,FALSE
2-2-B2,,1,FALSE,3,,FALSE
2-2-B2,,2,FALSE,4,,FALSE
2-2-B2,,3,FALSE,1,,TRUE
2,,1,TRUE,5,,FALSE
2,,1,FALSE,2,3,FALSE
2,,2,FALSE,4,,FALSE
2,,3,FALSE,3,,TRUE
2-E,3,1,FALSE,3,,TRUE
2-3-B1,,1,TRUE,4,,FALSE
2-3-B1,,1,FALSE,4,,FALSE
2-3-B1,,2,FALSE,4,,FALSE
2-3-B1,,3,FALSE,1,,TRUE
2-3-B2,,1,FALSE,1,3,FALSE
2-3-B2,,3,FALSE,3,,TRUE
2-3-B2-E,,1,FALSE,3,,TRUE
2-3-B3,,2,TRUE,3,,FALSE
2-3-B3,,3,TRUE,5,,FALSE
2-3-B3,,2,FALSE,2,,FALSE
2-3-B3,,3,FALSE,3,,TRUE
